gas_type,gas_year,gas_month,gas_average
Methane ,1995,2,1875.86
Methane ,1995,3,1866.31
Methane ,1995,4,1846.02
Methane ,1995,5,1829.24
Methane ,1995,6,1818.31
Methane ,1995,7,1812.62
Methane ,1995,8,1820.26
Methane ,1995,9,1837.7
Methane ,1995,10,1846.16
Methane ,1995,11,1860.65
Methane ,1995,12,1864.18
Methane ,1996,1,1857.77
Methane ,1996,2,1866.92
Methane ,1996,3,1863.41
Methane ,1996,4,1848.75
Methane ,1996,5,1845.91
Methane ,1996,6,1834.46
Methane ,1996,7,1817.3
Methane ,1996,8,1827.91
Methane ,1996,9,1848.65
Methane ,1996,10,1852.17
Methane ,1996,11,1844.66
Methane ,1996,12,1849.89
Methane ,1997,1,1866.81
Methane ,1997,2,1868.66
Methane ,1997,3,1853.06
Methane ,1997,4,1846.18
Methane ,1997,5,1841.2
Methane ,1997,6,1822.18
Methane ,1997,7,1817.82
Methane ,1997,8,1850.96
Methane ,1997,9,1859.34
Methane ,1997,10,1841.12
Methane ,1997,11,1842.84
Methane ,1997,12,1853.88
Methane ,1998,1,1861.59
Methane ,1998,2,1867.87
Methane ,1998,3,1863.54
Methane ,1998,4,1848.49
Methane ,1998,5,1847.8
Methane ,1998,6,1845.33
Methane ,1998,7,1844.11
Methane ,1998,8,1857.11
Methane ,1998,9,1859.38
Methane ,1998,10,1864.44
Methane ,1998,11,1872.63
Methane ,1998,12,1885.79
Methane ,1999,1,1892.96
Methane ,1999,2,1885.07
Methane ,1999,3,1876.35
Methane ,1999,4,1868.16
Methane ,1999,5,1860.51
Methane ,1999,6,1845.7
Methane ,1999,7,1835
Methane ,1999,8,1841.57
Methane ,1999,9,1848.13
Methane ,1999,10,1860.1
Methane ,1999,11,1873.28
Methane ,1999,12,1876.27
Methane ,2000,1,1883.02
Methane ,2000,2,1882.62
Methane ,2000,3,1871.07
Methane ,2000,4,1864.72
Methane ,2000,5,1859.5
Methane ,2000,6,1853.35
Methane ,2000,7,1843.15
Methane ,2000,8,1846.1
Methane ,2000,9,1859.33
Methane ,2000,10,1856.82
Methane ,2000,11,1853.88
Methane ,2000,12,1859.47
Methane ,2001,1,1869.17
Methane ,2001,2,1872.85
Methane ,2001,3,1870.83
Methane ,2001,4,1868.4
Methane ,2001,5,1859.57
Methane ,2001,6,1843.18
Methane ,2001,7,1838.13
Methane ,2001,8,1846.05
Methane ,2001,9,1849.65
Methane ,2001,10,1856.33
Methane ,2001,11,1865.16
Methane ,2001,12,1876.22
Methane ,2002,1,1882.83
Methane ,2002,2,1875.19
Methane ,2002,3,1871.38
Methane ,2002,4,1866.22
Methane ,2002,5,1851.9
Methane ,2002,6,1839.19
Methane ,2002,7,1831.84
Methane ,2002,8,1843.9
Methane ,2002,9,1863.52
Methane ,2002,10,1870.59
Methane ,2002,11,1871.35
Methane ,2002,12,1872.41
Methane ,2003,1,1883.69
Methane ,2003,2,1907.7
Methane ,2003,3,1907.47
Methane ,2003,4,1885.59
Methane ,2003,5,1864.58
Methane ,2003,6,1853.21
Methane ,2003,7,1849.73
Methane ,2003,8,1854.35
Methane ,2003,9,1862.98
Methane ,2003,10,1870.37
Methane ,2003,11,1889.43
Methane ,2003,12,1895.28
Methane ,2004,1,1887.52
Methane ,2004,2,1884.67
Methane ,2004,3,1877.75
Methane ,2004,4,1870.71
Methane ,2004,5,1860.22
Methane ,2004,6,1847.13
Methane ,2004,7,1849.43
Methane ,2004,8,1856.2
Methane ,2004,9,1860.53
Methane ,2004,10,1863.79
Methane ,2004,11,1862.22
Methane ,2004,12,1868.82
Methane ,2005,1,1883.72
Methane ,2005,2,1884.28
Methane ,2005,3,1876.35
Methane ,2005,4,1871
Methane ,2005,5,1858.34
Methane ,2005,6,1841.26
Methane ,2005,7,1834.36
Methane ,2005,8,1850.95
Methane ,2005,9,1873.04
Methane ,2005,10,1878.22
Methane ,2005,11,1877.29
Methane ,2005,12,1875.45
Methane ,2006,1,1876.54
Methane ,2006,2,1884.28
Methane ,2006,3,1884.38
Methane ,2006,4,1868.26
Methane ,2006,5,1855.26
Methane ,2006,6,1849.16
Methane ,2006,7,1841.75
Methane ,2006,8,1843.55
Methane ,2006,9,1863.09
Methane ,2006,10,1866.85
Methane ,2006,11,1864.24
Methane ,2006,12,1881.44
Methane ,2007,1,1890.47
Methane ,2007,2,1879.22
Methane ,2007,3,1877.51
Methane ,2007,4,1875.41
Methane ,2007,5,1863.1
Methane ,2007,6,1851.33
Methane ,2007,7,1843.31
Methane ,2007,8,1860.79
Methane ,2007,9,1881.72
Methane ,2007,10,1875.77
Methane ,2007,11,1877.18
Methane ,2007,12,1891.6
Methane ,2008,1,1911.1
Methane ,2008,2,1915.43
Methane ,2008,3,1899.65
Methane ,2008,4,1890.59
Methane ,2008,5,1876.04
Methane ,2008,6,1860.18
Methane ,2008,7,1851.18
Methane ,2008,8,1849.07
Methane ,2008,9,1860.53
Methane ,2008,10,1880.87
Methane ,2008,11,1899.49
Methane ,2008,12,1905.52
Methane ,2009,1,1901.21
Methane ,2009,2,1901.39
Methane ,2009,3,1903.4
Methane ,2009,4,1895.07
Methane ,2009,5,1878.62
Methane ,2009,6,1861.32
Methane ,2009,7,1856.27
Methane ,2009,8,1874.23
Methane ,2009,9,1886.79
Methane ,2009,10,1885.36
Methane ,2009,11,1881.9
Methane ,2009,12,1896.12
Methane ,2010,1,1909.9
Methane ,2010,2,1900.67
Methane ,2010,3,1896.28
Methane ,2010,4,1898.06
Methane ,2010,5,1884.51
Methane ,2010,6,1878.53
Methane ,2010,7,1889.1
Methane ,2010,8,1889.6
Methane ,2010,9,1899.6
Methane ,2010,10,1898.43
Methane ,2010,11,1893.42
Methane ,2010,12,1915.81
Methane ,2011,1,1919.55
Methane ,2011,2,1908.81
Methane ,2011,3,1908.09
Methane ,2011,4,1903.37
Methane ,2011,5,1885.82
Methane ,2011,6,1865.33
Methane ,2011,7,1869.01
Methane ,2011,8,1889.17
Methane ,2011,9,1897.17
Methane ,2011,10,1892.67
Methane ,2011,11,1898.32
Methane ,2011,12,1912.28
Methane ,2012,1,1915.93
Methane ,2012,2,1910.66
Methane ,2012,3,1905.13
Methane ,2012,4,1901.63
Methane ,2012,5,1894.72
Methane ,2012,6,1882.7
Methane ,2012,7,1879.36
Methane ,2012,8,1889.87
Methane ,2012,9,1898.09
Methane ,2012,10,1899.82
Methane ,2012,11,1905.76
Methane ,2012,12,1909.73
Methane ,2013,1,1920.62
Methane ,2013,2,1929.42
Methane ,2013,3,1920.9
Methane ,2013,4,1909.55
Methane ,2013,5,1900.89
Methane ,2013,6,1898.96
Methane ,2013,7,1894.73
Methane ,2013,8,1880.22
Methane ,2013,9,1888.69
Methane ,2013,10,1905.95
Methane ,2013,11,1910.96
Methane ,2013,12,1913.72
Methane ,2014,1,1919.66
Methane ,2014,2,1931.76
Methane ,2014,3,1924.38
Methane ,2014,4,1912.01
Methane ,2014,5,1906.3
Methane ,2014,6,1896.42
Methane ,2014,7,1887.07
Methane ,2014,8,1898.69
Methane ,2014,9,1923.19
Methane ,2014,10,1924.23
Methane ,2014,11,1922.28
Methane ,2014,12,1931.98
Methane ,2015,1,1935.52
Methane ,2015,2,1942.99
Methane ,2015,3,1940.68
Methane ,2015,4,1923.9
Methane ,2015,5,1912.25
Methane ,2015,6,1908.95
Methane ,2015,7,1903.84
Methane ,2015,8,1913.03
Methane ,2015,9,1937.17
Methane ,2015,10,1935.19
Methane ,2015,11,1935.39
Methane ,2015,12,1949.27
Methane ,2016,1,1948.65
Methane ,2016,2,1938.31
Methane ,2016,3,1933.94
Methane ,2016,4,1930.61
Methane ,2016,5,1920.68
Methane ,2016,6,1916.81
Methane ,2016,7,1916.1
Methane ,2016,8,1929.04
Methane ,2016,9,1955.29
Methane ,2016,10,1951.12
Methane ,2016,11,1942.97
Methane ,2016,12,1963.26
Methane ,2017,1,1976.42
Methane ,2017,2,1974.27
Methane ,2017,3,1964.94
Methane ,2017,4,1945.59
Methane ,2017,5,1927.95
Methane ,2017,6,1917.86
Methane ,2017,7,1921.39
Methane ,2017,8,1940.35
Methane ,2017,9,1945.31
Methane ,2017,10,1949.72
Methane ,2017,11,1959.17
Methane ,2017,12,1952.37
Methane ,2018,1,1949.63
Methane ,2018,2,1953.5
Methane ,2018,3,1953.23
Methane ,2018,4,1952.7
Methane ,2018,5,1943.02
Methane ,2018,6,1930.13
Methane ,2018,7,1922.89
Methane ,2018,8,1927.87
Methane ,2018,9,1938.38
Methane ,2018,10,1960.66
Methane ,2018,11,1983.79
Methane ,2018,12,1975.95
Methane ,2019,1,1972.41
Methane ,2019,2,1973.34
Methane ,2019,3,1971.35
Methane ,2019,4,1962.09
Methane ,2019,5,1941.18
Methane ,2019,6,1937.03
Methane ,2019,7,1954.92
Methane ,2019,8,1964
Methane ,2019,9,1976.61
Methane ,2019,10,1983.79
Methane ,2019,11,1968.04
Methane ,2019,12,1968.39
